id,age,income,spending_score,savings,loan_amount,default
1,56,83026,56,34611,456910,1
2,69,98504,27,281145,342732,1
3,46,128388,90,120190,574753,0
4,32,33280,16,139331,205890,0
5,60,149892,38,411452,703990,0
6,25,22754,53,225738,549003,1
7,38,103392,68,346305,677778,1
8,56,70258,23,113869,667026,0
9,36,63386,83,28221,531402,0
10,40,51365,56,194503,754822,1
11,28,101353,79,476038,719568,0
12,28,49604,95,288307,403328,1
13,41,21803,88,135730,211123,1
14,53,144907,75,132560,687280,0
15,57,28272,53,116844,780439,0
16,41,116986,74,261092,31930,0
17,20,141345,72,201442,487391,1
18,39,101204,67,161226,108873,1
19,19,145848,19,213119,617381,1
20,41,125210,4,77017,10255,0
21,61,47117,29,226029,565765,0
22,47,107275,45,40299,435167,1
23,55,64699,21,62760,431256,1
24,19,88524,54,206221,717679,0
25,38,27204,73,167049,621688,1
26,50,98564,52,257497,53170,1
27,29,140464,18,252888,204210,1
28,39,94052,83,97301,587822,0
29,61,82519,17,298084,51558,0
30,42,51864,44,26830,741701,1
31,66,120665,24,33905,101919,0
32,44,70386,6,209199,770732,0
33,59,118051,95,248645,239287,1
34,45,36486,27,466292,69060,0
35,33,34774,47,198267,187444,0
36,32,123216,98,170642,55664,0
37,64,86282,46,191707,46990,0
38,68,34373,91,87386,526425,0
39,61,57676,91,281513,565930,1
40,69,23691,35,196258,369449,0
41,20,64445,57,345007,634044,0
42,54,45823,12,184784,731583,1
43,68,121368,29,374168,760072,0
44,24,74564,57,336131,590148,0
45,38,87255,70,300168,764119,1
46,26,71354,55,368788,299245,0
47,56,107071,37,62180,570800,0
48,35,113417,71,140643,465261,0
49,21,26026,70,414019,87304,0
50,42,63496,53,417270,459642,1
51,31,34073,83,253167,379776,0
52,67,126041,14,179371,594138,0
53,26,41836,21,499766,627364,1
54,43,85186,78,253317,562686,0
55,19,27184,14,496573,515775,0
56,37,80829,53,158078,34354,0
57,45,21789,96,376242,535607,0
58,64,50353,90,6477,546638,0
59,24,46340,67,326984,53836,0
60,61,67343,79,485474,262727,1
61,25,47933,85,274554,720874,1
62,64,116601,94,375414,256015,1
63,52,33686,48,55370,761854,0
64,31,99887,78,105684,255062,0
65,34,49258,56,137343,435900,1
66,53,145877,39,74022,421401,0
67,67,53027,41,311100,178136,0
68,57,38302,48,76298,72221,1
69,21,141192,28,376017,465105,1
70,19,107438,2,331634,785843,1
71,23,75755,22,289297,770065,0
72,59,67002,71,262201,597548,0
73,21,110095,96,430230,195571,0
74,46,133570,61,51672,280613,1
75,35,46362,80,116379,272163,1
76,43,27252,36,294126,257444,1
77,61,141918,66,216402,610522,1
78,51,85635,81,134586,798706,0
79,27,89441,49,53274,396931,1
80,53,35090,3,212667,516883,1
81,31,55110,23,475599,185918,0
82,48,93627,59,65222,490608,0
83,65,72385,28,302185,513769,1
84,32,25024,72,203190,356462,0
85,25,31441,33,472754,633823,1
86,31,132059,68,399434,62000,1
87,40,102247,71,475515,581517,0
88,57,62311,11,135109,120475,1
89,38,47387,8,24763,761093,0
90,33,148041,20,437268,84509,0
91,62,87825,62,265383,192165,0
92,35,136053,43,499688,242399,0
93,64,96890,92,462139,452683,0
94,41,31291,75,436831,583707,1
95,43,147434,86,334923,429309,1
96,42,51386,70,467621,291678,1
97,62,113814,7,350986,329010,0
98,58,136096,10,397537,216841,1
99,46,29702,40,277089,290441,1
100,32,118523,4,325886,481345,0
101,62,115066,73,205311,405688,0
102,18,124711,19,307385,315678,1
103,42,63128,97,125346,46331,1
104,24,100941,38,58790,375903,1
105,26,131895,22,125595,225301,1
106,41,47762,1,142443,37820,1
107,18,23239,53,301586,201871,0
108,61,81874,21,175537,625540,0
109,25,135957,7,471683,280548,1
110,41,83971,7,17102,672428,0
111,28,125846,86,293924,491115,0
112,68,32567,77,127075,692431,1
113,34,105737,23,392153,707315,0
114,25,141877,60,223048,456335,0
115,52,26857,86,18159,783489,0
116,52,85603,90,170416,13355,1
117,50,95399,18,292415,314862,1
118,22,78086,71,410856,759576,0
119,59,109145,66,440909,67243,1
120,56,52270,53,46190,583490,0
121,58,140071,19,15063,99351,0
122,45,22012,64,190776,199465,0
123,24,79049,14,416058,798540,1
124,26,111558,25,72578,637097,1
125,25,104989,33,89336,450119,0
126,29,109586,48,264392,727288,1
127,51,85826,39,237025,485642,0
128,50,59080,84,464434,13075,1
129,65,76879,5,145847,567254,0
130,40,148461,21,449558,396880,0
131,41,89215,59,192689,161160,0
132,54,73062,77,102397,638220,0
133,52,122955,14,209209,362452,1
134,61,85888,63,218136,133552,0
135,57,135951,54,190033,660539,1
136,39,38210,80,53533,401174,0
137,44,57146,45,111568,785639,1
138,52,117728,50,332616,71793,1
139,18,136293,41,312963,696957,0
140,52,113948,92,299146,762018,1
141,54,56166,1,291292,703787,0
142,64,139239,2,271838,497273,0
143,31,23006,72,257061,719369,1
144,20,21004,13,217466,699732,1
145,18,67580,19,17172,66751,0
146,22,25967,51,497710,490235,1
147,43,91964,2,66947,176771,1
148,31,54846,95,350322,787817,1
149,56,38879,10,286275,178922,1
150,44,22261,69,88291,326688,1
151,26,48340,87,74294,49657,0
152,32,87273,30,334296,372249,1
153,32,52323,96,366126,373596,1
154,43,55864,65,357723,8525,1
155,59,27927,44,195065,431767,0
156,30,84884,42,372515,357729,1
157,68,55212,3,208637,670972,0
158,49,102256,30,425365,605737,0
159,56,104903,37,405493,636252,0
160,66,61927,28,489198,511329,0
161,69,141686,51,137133,343219,1
162,49,74150,85,453646,65385,0
163,21,127167,13,235540,218603,0
164,47,78647,40,130890,402750,0
165,54,33056,26,356884,614471,0
166,40,30862,30,253480,579574,0
167,56,30798,24,78347,729694,1
168,62,126491,38,122801,128932,1
169,32,79058,69,492725,49145,1
170,60,71747,16,101048,252215,0
171,46,55738,55,158221,95769,0
172,53,121573,49,378498,761254,0
173,30,79945,80,318611,797563,0
174,49,102398,52,12069,475591,1
175,24,37227,49,338038,403583,0
176,68,54393,64,371298,374177,1
177,39,103800,48,148375,661417,1
178,45,146531,74,371224,128627,0
179,19,79461,82,301249,469335,1
180,59,77848,38,95114,338193,0
181,62,44685,17,450678,521661,0
182,23,111517,41,20427,116429,1
183,45,139180,54,196431,106081,0
184,45,23480,40,272598,547540,0
185,61,126846,31,300860,774056,0
186,61,144437,90,113772,180170,1
187,37,35860,26,282191,668557,1
188,47,88578,76,188978,11316,1
189,28,137524,18,267873,92986,1
190,45,77230,98,168925,99574,1
191,42,77026,35,489928,444008,0
192,56,26564,75,231574,490224,1
193,50,40012,56,389635,207906,0
194,18,74169,30,5674,481956,1
195,44,128537,45,22889,255318,1
196,69,110222,75,479668,164584,0
197,30,114416,52,204038,561719,0
198,58,46341,68,228184,359176,0
199,20,76758,55,260452,516599,1
200,56,103121,10,238782,595590,0
201,23,129474,54,197871,191685,1
202,25,66841,34,352582,130822,1
203,44,112584,63,437780,612874,1
204,26,63335,31,333418,482124,0
205,54,75155,64,418727,767838,1
206,50,118314,96,38753,519872,1
207,68,101147,50,363111,207965,1
208,59,49527,28,294703,765252,0
209,61,115466,37,344548,236247,1
210,41,68775,96,426247,92260,0
211,32,145181,32,178305,399396,0
212,49,128085,81,326583,280381,1
213,49,70653,98,175251,754847,1
214,41,44704,35,469580,648743,1
215,58,126209,57,393208,384230,0
216,69,121907,61,478411,422406,1
217,66,138883,85,216642,114268,1
218,66,53057,32,41346,299382,1
219,69,123992,98,228279,388975,0
220,29,27393,98,415546,577911,1
221,56,95404,8,230465,624213,1
222,19,131740,80,444525,261964,0
223,20,60373,35,159117,691948,1
224,66,111956,23,41922,618813,1
225,54,130131,86,62652,702768,0
226,66,104613,95,51611,176066,0
227,34,79171,93,465223,313860,0
228,66,49336,38,490744,305352,1
229,19,78714,19,184861,696025,0
230,19,32985,54,460426,406745,0
231,45,32014,45,141902,653116,1
232,40,28374,36,424336,143307,1
233,54,135038,49,217335,46184,0
234,49,105506,60,11118,163559,0
235,50,42299,56,168905,531573,1
236,18,111513,73,235430,775760,1
237,36,47331,64,227613,551016,1
238,19,25584,62,120687,492315,0
239,61,32965,99,402447,553845,0
240,43,104769,59,14353,69668,1
241,49,40819,1,392925,714668,1
242,23,146092,97,482862,442650,0
243,49,48782,81,218278,686902,1
244,21,124708,90,272428,595406,0
245,28,130463,77,211712,560102,1
246,34,99035,5,31779,363053,0
247,55,105847,19,395170,614470,0
248,41,108434,58,473588,705447,0
249,22,80773,57,317886,770962,1
250,69,43824,42,350424,787494,0
251,51,140504,73,430955,324802,1
252,23,34110,6,366256,356990,1
253,39,67707,85,229522,369130,0
254,28,108512,22,222193,510867,1
255,65,25825,53,254176,359592,0
256,33,23488,57,184379,597444,0
257,50,87431,51,120837,781280,0
258,26,88444,5,494245,190455,0
259,23,86947,22,313112,752515,1
260,33,25457,7,365469,598588,0
261,46,97110,64,93210,111141,1
